Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Solanki Arvindbhai Nathabhai,MAHUVA,0,Graduate,2592500, 1300000,Rashtriya Hind Ekta Dal,"Rs 25,92,500 ~ 25 Lacs+"
Ashokbhai Mangalbhai Joliya,MAHUVA,0,5th Pass,2735280, 0,AAP,"Rs 27,35,280 ~ 27 Lacs+"
Alimahamad Hanifbhai Halari,MAHUVA,0,8th Pass,4481800, 1115000,IND,"Rs 44,81,800 ~ 44 Lacs+"
Gohil Shivabhai Jerambhai,MAHUVA,0,8th Pass,24793723, 2000000,BJP,"Rs 2,47,93,723 ~ 2 Crore+"
Kunjankumar Rameshchandra Patel,MAHUVA (ST),0,Post Graduate,3378370, 1190315,AAP,"Rs 33,78,370 ~ 33 Lacs+"
Mohanbhai Dhanjibhai Dhodiya,MAHUVA (ST),0,8th Pass,20018546, 1300000,BJP,"Rs 2,00,18,546 ~ 2 Crore+"
Garasiya Hemangini Dipakkumar,MAHUVA (ST),0,Graduate Professional,83458440, 28638966,INC,"Rs 8,34,58,440 ~ 8 Crore+"
Rameshprasad Kashiram Chamar,MAJURA,0,10th Pass,2351700, 1600000,BSP,"Rs 23,51,700 ~ 23 Lacs+"
Balwant Shantilal Jain,MAJURA,0,12th Pass,21931426, 12735000,INC,"Rs 2,19,31,426 ~ 2 Crore+"
P V S Sarma,MAJURA,2,Post Graduate,169491888, 66038313,AAP,"Rs 16,94,91,888 ~ 16 Crore+"
Harsh Ramesh Sanghvi,MAJURA,1,8th Pass,174274927, 83177314,BJP,"Rs 17,42,74,927 ~ 17 Crore+"
Rathod Bhavinkumar Shantilal,MANAVADAR,3,Graduate Professional,215015, 312000,IND,"Rs 2,15,015 ~ 2 Lacs+"
Mahesh Parmar,MANAVADAR,0,10th Pass,401457, 0,IND,"Rs 4,01,457 ~ 4 Lacs+"
Muchhadiya Devdanbhai Kanabhai,MANAVADAR,0,Graduate Professional,1150000, 0,BSP,"Rs 11,50,000 ~ 11 Lacs+"
Arvindbhai Jinabhai Ladani,MANAVADAR,0,12th Pass,9611654, 336000,INC,"Rs 96,11,654 ~ 96 Lacs+"
